Ligand	Receptor	Source	Target
BMP2	BMPR2	Female_Soma_3	Female_FGC_2
BMP2	BMPR2	Female_Soma_4	Female_FGC_2
BMP2	BMPR2	Female_Soma_3	Female_FGC_3
BMP2	BMPR2	Female_Soma_4	Female_FGC_3
BMP2	BMPR2	Female_Soma_3	Female_FGC_4
BMP2	BMPR2	Female_Soma_4	Female_FGC_4
BMP2	ID2	Female_Soma_3	Female_FGC_2
BMP2	ID2	Female_Soma_4	Female_FGC_2
BMP2	ID3	Female_Soma_3	Female_FGC_2
BMP2	ID3	Female_Soma_4	Female_FGC_2
BMP2	ID2	Female_Soma_3	Female_FGC_3
BMP2	ID2	Female_Soma_4	Female_FGC_3
BMP2	ID3	Female_Soma_3	Female_FGC_3
BMP2	ID3	Female_Soma_4	Female_FGC_3
BMP2	ID2	Female_Soma_3	Female_FGC_4
BMP2	ID2	Female_Soma_4	Female_FGC_4
BMP2	ID3	Female_Soma_3	Female_FGC_4
BMP2	ID3	Female_Soma_4	Female_FGC_4
NODAL	ACVR1C	Female_FGC_1	Female_FGC_3
DLL3	NOTCH2	Female_FGC_1	Female_Soma_1
DLL3	NOTCH2	Female_FGC_1	Female_Soma_2
DLL3	NOTCH2	Female_FGC_1	Female_Soma_3
DLL3	NOTCH2	Female_FGC_1	Female_Soma_4
DLL3	NOTCH2	Female_FGC_2	Female_Soma_1
DLL3	NOTCH2	Female_FGC_2	Female_Soma_2
DLL3	NOTCH2	Female_FGC_2	Female_Soma_3
DLL3	NOTCH2	Female_FGC_2	Female_Soma_4
DLL3	NOTCH2	Female_FGC_3	Female_Soma_1
DLL3	NOTCH2	Female_FGC_3	Female_Soma_2
DLL3	NOTCH2	Female_FGC_3	Female_Soma_3
DLL3	NOTCH2	Female_FGC_3	Female_Soma_4
DLL3	NOTCH2	Female_FGC_4	Female_Soma_1
DLL3	NOTCH2	Female_FGC_4	Female_Soma_2
DLL3	NOTCH2	Female_FGC_4	Female_Soma_3
DLL3	NOTCH2	Female_FGC_4	Female_Soma_4
DLL3	HES1	Female_FGC_1	Female_Soma_1
DLL3	HES1	Female_FGC_1	Female_Soma_2
DLL3	HES1	Female_FGC_1	Female_Soma_3
DLL3	HES1	Female_FGC_1	Female_Soma_4
DLL3	HES1	Female_FGC_2	Female_Soma_1
DLL3	HES1	Female_FGC_2	Female_Soma_2
DLL3	HES1	Female_FGC_2	Female_Soma_3
DLL3	HES1	Female_FGC_2	Female_Soma_4
DLL3	HES1	Female_FGC_3	Female_Soma_1
DLL3	HES1	Female_FGC_3	Female_Soma_2
DLL3	HES1	Female_FGC_3	Female_Soma_3
DLL3	HES1	Female_FGC_3	Female_Soma_4
DLL3	HES1	Female_FGC_4	Female_Soma_1
DLL3	HES1	Female_FGC_4	Female_Soma_2
DLL3	HES1	Female_FGC_4	Female_Soma_3
DLL3	HES1	Female_FGC_4	Female_Soma_4
JAG1	NOTCH2	Female_FGC_4	Female_Soma_1
JAG1	NOTCH2	Female_FGC_4	Female_Soma_2
JAG1	NOTCH2	Female_FGC_4	Female_Soma_3
JAG1	NOTCH2	Female_FGC_4	Female_Soma_4
JAG1	HES1	Female_FGC_4	Female_Soma_1
JAG1	HES1	Female_FGC_4	Female_Soma_2
JAG1	HES1	Female_FGC_4	Female_Soma_3
JAG1	HES1	Female_FGC_4	Female_Soma_4
